Symbol,Acquirers_Multiple,ROIC,Revenue_Growth,Z_Score,Earnings_Stability,Debt_to_Equity,Beta,Market_Cap,Avg_Volume
PEP,21.30842416789282,0.1284939549231305,0.09134277505738808,1.399690531867257,0.117496019704229,2.3963620754413264,0.526,236762267648,5436851
QCOM,23.789971919876734,0.15258620689655172,0.15034576831811775,1.0722296238244513,0.3822804997595734,0.7134979843380752,1.272,183754293248,10592890
REGN,26.70875697250307,0.12796778737734354,0.15573110966538306,1.5759874486853163,0.42199956422715945,0.10406535993008151,0.128,122730135552,442077
ROP,36.236217355030945,0.06195793023875033,0.1537619071912475,0.9408708618088222,0.8469752421251617,0.3653466935705769,1.015,56067223552,535609
ROST,20.635867750187096,0.16137380491295555,0.17592031247745799,0.8799528521076307,0.6332626101202957,1.1799054302668308,1.086,46440312832,2471056
SBUX,19.58672677751731,0.18688424377239307,0.15222126617247556,0.2717376169533545,0.48759306470334407,-3.07967149903603,0.935,85839896576,12087916
SMCI,39.981897853488576,0.2071287433712799,0.2873000563923702,1.2294752075595234,0.9122256156880904,0.14719927795271198,1.269,29860300800,6692517
SNPS,57.88742713040042,0.13028587366210687,0.16603696807557555,1.343352745648923,0.27790913641755943,0.11121758142108543,1.069,78910840832,937740
TTWO,-23.203832838534836,-0.0936325909191366,0.1662103918271003,-0.6046321079815665,-2.078079372607077,0.6235113534113164,0.835,24325775360,1742750
TMUS,23.49217556295204,0.0685711809400911,0.04725181485829033,0.2758115773153186,0.6403404907944598,1.747446496175539,0.506,225900281856,5096480
TSLA,69.48738369677201,0.08339117222232643,0.4531681342167806,0.6413091598041607,0.7732111912130971,0.15049757109842946,2.313,635222163456,95730754
TXN,24.64803953839858,0.22662915790775318,0.06603221443468765,3.010649808334364,0.19376543663297668,0.6642007456945019,0.973,176491790336,5452332
TTD,209.46402170790103,0.04100896621117286,0.3253036636180697,0.19173238131220102,0.5171377726511561,0.10899682518266404,1.478,43391586304,3636406
VRSK,35.651269841830874,0.25920157577700925,0.05718303403779945,2.9129589336020705,0.20405903346620263,9.60707635009311,0.845,37685391360,775377
VRTX,26.791225202553687,0.18950559167979164,0.16724957485402014,1.2500598322936005,0.19286360439251105,0.04598302655229688,0.392,120265203712,1221059
WBD,-62.77767685778781,-0.007217511017701638,0.5703214671700654,-0.0344012968710542,-1.964127071198412,0.9396841108624548,,17212407808,30179427
WDAY,286.28251138797816,0.01112326768781911,0.18904471494525343,-0.11059445660102116,4.270281824820651,0.40781984657263054,1.354,56311296000,2631996
XEL,23.733642089644512,0.04038764649885298,0.0721718445146382,0.30496106368701137,0.08312492013019335,1.5618755676657583,0.378,32418682880,3198756
ZS,-109.92944439990661,-0.0629165896455328,0.5535180205162553,-0.6306817000834462,-0.47663878567643886,1.6694593386952636,0.842,25953794048,2124735
